tool,size,metric,run,value,unit,timestamp
webpack,xl-5000,M3,1,-1,ms,2026-09-12T07:04:38Z
webpack,xl-5000,M3,2,-1,ms,2026-09-12T07:04:38Z
webpack,xl-5000,M3,3,-1,ms,2026-09-12T07:04:38Z
webpack,xl-5000,M3,4,-1,ms,2026-09-12T07:04:38Z
webpack,xl-5000,M3,5,-1,ms,2026-09-12T07:04:38Z
webpack,xl-5000,M3,6,-1,ms,2026-09-12T07:04:38Z
webpack,xl-5000,M3,7,-1,ms,2026-09-12T07:04:38Z
webpack,xl-5000,M3,8,-1,ms,2026-09-12T07:04:38Z
webpack,xl-5000,M3,9,-1,ms,2026-09-12T07:04:38Z
webpack,xl-5000,M3,10,-1,ms,2026-09-12T07:04:38Z
webpack,xl-5000,M3,11,-1,ms,2026-09-12T07:04:38Z
webpack,xl-5000,M3,12,-1,ms,2026-09-12T07:04:38Z
webpack,xl-5000,M3,13,-1,ms,2026-09-12T07:04:38Z
webpack,xl-5000,M3,14,-1,ms,2026-09-12T07:04:38Z
webpack,xl-5000,M3,15,-1,ms,2026-09-12T07:04:38Z
webpack,xl-5000,M3,16,-1,ms,2026-09-12T07:04:38Z
webpack,xl-5000,M3,17,-1,ms,2026-09-12T07:04:38Z
webpack,xl-5000,M3,18,-1,ms,2026-09-12T07:04:38Z
webpack,xl-5000,M3,19,-1,ms,2026-09-12T07:04:38Z
webpack,xl-5000,M3,20,-1,ms,2026-09-12T07:04:38Z
